term_es,term_zh,term_type,forbidden_zh,keep_original,review_status,notes
bambú,竹制,material,,0,SEED_REVIEWED,材质
colores,颜色,spec,,0,SEED_REVIEWED,规格颜色
compatible,兼容,attribute,,0,SEED_REVIEWED,兼容性属性
diferentes,不同款式,spec,,0,SEED_REVIEWED,规格描述
gramo,克,unit,,0,SEED_REVIEWED,重量单位
gramos,克,unit,,0,SEED_REVIEWED,重量单位
hojas,张,quantity,,0,SEED_REVIEWED,纸张数量
incluidos,包含,attribute,,0,SEED_REVIEWED,规格描述
incluye,包含,attribute,,0,SEED_REVIEWED,规格描述
litro,升,unit,,0,SEED_REVIEWED,容量单位
litros,升,unit,,0,SEED_REVIEWED,容量单位
lúmenes,流明,unit,,0,SEED_REVIEWED,光通量单位
madera,木质,material,,0,SEED_REVIEWED,材质
metro,米,unit,,0,SEED_REVIEWED,长度单位
metros,米,unit,,0,SEED_REVIEWED,长度单位
microfibra,超细纤维,material,,0,SEED_REVIEWED,材质
pares,双,quantity,,0,SEED_REVIEWED,数量单位
piezas,件,quantity,,0,SEED_REVIEWED,数量；按商品语义复核
plástico,塑料,material,,0,SEED_REVIEWED,材质
pulgadas,英寸,unit,,0,SEED_REVIEWED,长度单位
recargable,可充电,attribute,,0,SEED_REVIEWED,功能属性
rollos,卷,quantity,,0,SEED_REVIEWED,卷状商品数量
suave,柔软,attribute,,0,SEED_REVIEWED,触感属性
talla,尺码,apparel,,0,SEED_REVIEWED,服装规格
tallas,尺码,apparel,,0,SEED_REVIEWED,服装规格
transparente,透明,attribute,,0,SEED_REVIEWED,外观属性
unidades,件,quantity,,0,SEED_REVIEWED,数量；按商品语义复核
variantes,变体,spec,,0,SEED_REVIEWED,规格变体
varias,多种,spec,,0,SEED_REVIEWED,规格描述
varios,多种,spec,,0,SEED_REVIEWED,规格描述
vatios,瓦,unit,,0,SEED_REVIEWED,功率单位
vidrio,玻璃,material,,0,SEED_REVIEWED,材质
voltios,伏,unit,,0,SEED_REVIEWED,电压单位
